id,name,price,original_price,discount_rate,rating_average,review_count,thumbnail_url,url_key,category_id,category_name
46473261,Bộ đồ ngủ hình thú bò sữa 1907 liền thân lông mịn Pijama Động Vật Hoạt Hình cho trẻ em người lớn Cosplay,199000,199000,0,4.7,15,https://salt.tikicdn.com/cache/280x280/ts/product/f1/f0/dd/4f3c6def4d3262e0e1d841d64244b534.jpg,bo-do-ngu-hinh-thu-bo-sua-1907-lien-than-long-min-pijama-dong-vat-hoat-hinh-cho-tre-em-nguoi-lon-cosplay-p46473261,931,thoi_trang_nu
32425267,Đồ bộ ngủ lụa satin,170000,170000,0,3.8,4,https://salt.tikicdn.com/cache/280x280/ts/product/d7/b8/11/4719a75093c51eaceedb8797e77c67b3.jpg,do-bo-ngu-lua-satin-p32425267,931,thoi_trang_nu
15778666,Áo Sơ Mi Nữ Viền,249000,249000,0,4.5,18,https://salt.tikicdn.com/cache/280x280/ts/product/42/94/1f/ee2cc50fb6644eb50cc55461cef94914.jpg,ao-so-mi-nu-vien-p15778666,931,thoi_trang_nu
278433685,"Đồ bộ nữ,đồ ngủ mặc nhà lửng vải lụa mango BL 245 hoạ tiết caro dễ thương size 50-65kg",145000,145000,0,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/75/e0/2d/a6e070bf3e039b85beba42f7419e73da.jpg,do-bo-nu-do-ngu-mac-nha-lung-vai-lua-mango-bl-245-hoa-tiet-caro-de-thuong-size-50-65kg-p278433685,931,thoi_trang_nu
276126261,Chân váy xòe dài xếp li sang chảnh,139000,139000,0,4.0,3,https://salt.tikicdn.com/cache/280x280/ts/product/0b/b5/be/bf6b7c02451c4a89637e42aa1c51852b.jpg,chan-vay-xoe-dai-xep-li-sang-chanh-p276126261,931,thoi_trang_nu
271128220,"Áo lót nữ nâng ngực trơn, mỏng, có gọng Vicci AV.06 (phiên bản nâng cấp của AV.04) cúp chéo, dây vai có thể tháo rời, mềm mại, thoải mái tuyệt đối",198000,198000,0,4.5,6,https://salt.tikicdn.com/cache/280x280/ts/product/0d/f6/a5/9ba2d114da97f770b4cbd1039f4fce58.png,ao-lot-nu-nang-nguc-tron-mong-co-gong-vicci-av-06-phien-ban-nang-cap-cua-av-04-cup-cheo-day-vai-co-the-thao-roi-mem-mai-thoai-mai-tuyet-doi-p271128220,931,thoi_trang_nu
270959142,"Quần Lót Nữ Tàng Hình AIR Combo 5 Chiếc Quần Lót Nữ Lụa Băng Siêu Mỏng Nhẹ Thoáng Khí , Quần Chip Nữ Cao Cấp - Quần Lót Nữ HT SYS",155000,155000,0,5.0,5,https://salt.tikicdn.com/cache/280x280/ts/product/e1/c6/f2/be7e3449d52dd7c08ba44d3454e605bb.jpg,combo-5-chiec-quan-lot-nu-lua-bang-air-sieu-mong-nhe-thoang-khi-quan-chip-nu-cao-cap-quan-lot-nu-ht-sys-p270959142,931,thoi_trang_nu
257581540,Quần lót ren lọt khe xẻ đáy không đũng đính nơ gợi cảm,35000,35000,0,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/bd/53/09/56b5d160414e0e4ecfb9b3df3c6ff4c1.jpg,quan-lot-ren-lot-khe-xe-day-khong-dung-dinh-no-goi-cam-p257581540,931,thoi_trang_nu
248784251,Quần Ống Rộng Nữ Dạng Váy Chất Liệu Đũi Cao Cấp Mát Mẻ Dành Cho Tất Cả Chị Em - Tuấn Tú Store 68,191000,191000,0,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/91/38/79/06f9a0a6b56694a8c890943c4764c4d1.png,quan-ong-rong-nu-dang-vay-chat-lieu-dui-cao-cap-mat-me-danh-cho-tat-ca-chi-em-tuan-tu-store-68-p248784251,931,thoi_trang_nu
197380065,"Đồ bộ nữ,đồ ngủ lửng mặc nhà vải lanh BL 145 họa tiết dễ thương size 45-70kg",99000,99000,0,5.0,3,https://salt.tikicdn.com/cache/280x280/ts/product/51/14/61/be3a1a548e24133b31460dba5aee5f56.jpg,do-bo-nu-lung-mac-nha-vai-lanh-bl-145-hoa-tiet-de-thuong-size-45-70kg-p197380065,931,thoi_trang_nu
182479802,"Quần nữ ống rộng, dài, chất liệu Đũi mát, vải mềm mịn, form rộng, thoải mái, phong cách trẻ trung QKH.51",89000,169000,47,4.3,9,https://salt.tikicdn.com/cache/280x280/ts/product/8a/85/b8/b240cdda3dc1933a9c022205c44d3211.jpg,quan-nu-ong-rong-dai-chat-lieu-dui-mat-vai-mem-min-form-rong-thoai-mai-phong-cach-tre-trung-qnh-51-p182479802,931,thoi_trang_nu
